timestamp,original_load_kw,battery_power_kw,net_load_kw,battery_soc,action_mode
2023-08-08 00:30:00,10435.777937604964,0.0,10435.777937604964,0.8649563996812314,idle
2023-08-08 00:45:00,8247.711203641007,0.0,8247.711203641007,0.8649563996812314,idle
2023-08-08 01:00:00,10456.24182116431,0.0,10456.24182116431,0.8649563996812314,idle
2023-08-08 01:15:00,7713.056686598486,0.0,7713.056686598486,0.8649563996812314,idle
2023-08-08 01:30:00,9919.489568800878,0.0,9919.489568800878,0.8649563996812314,idle
2023-08-08 01:45:00,8719.364818999826,0.0,8719.364818999826,0.8649563996812314,idle
2023-08-08 02:00:00,9513.952775583228,0.0,9513.952775583228,0.8649563996812314,idle
2023-08-08 02:15:00,9211.863591332043,0.0,9211.863591332043,0.8649563996812314,idle
2023-08-08 02:30:00,7512.444333636429,0.0,7512.444333636429,0.8649563996812314,idle
2023-08-08 02:45:00,9033.451145572164,0.0,9033.451145572164,0.8649563996812314,idle
2023-08-08 03:00:00,9585.848350807775,0.0,9585.848350807775,0.8649563996812314,idle
2023-08-08 03:15:00,7612.517457338765,0.0,7612.517457338765,0.8649563996812314,idle
2023-08-08 03:30:00,10209.794946813652,0.0,10209.794946813652,0.8649563996812314,idle
2023-08-08 03:45:00,8612.613931420748,0.0,8612.613931420748,0.8649563996812314,idle
2023-08-08 04:00:00,9636.970985753336,0.0,9636.970985753336,0.8649563996812314,idle
2023-08-08 04:15:00,6983.58154871599,0.0,6983.58154871599,0.8649563996812314,idle
2023-08-08 04:30:00,9304.88631658063,0.0,9304.88631658063,0.8649563996812314,idle
2023-08-08 04:45:00,8336.09508096151,0.0,8336.09508096151,0.8649563996812314,idle
2023-08-08 05:00:00,9965.87000045341,0.0,9965.87000045341,0.8649563996812314,idle
2023-08-08 05:15:00,9738.80946835116,0.0,9738.80946835116,0.8649563996812314,idle
2023-08-08 05:30:00,9671.758248862208,0.0,9671.758248862208,0.8649563996812314,idle
2023-08-08 05:45:00,8607.367232708863,0.0,8607.367232708863,0.8649563996812314,idle
2023-08-08 06:00:00,10263.098064359012,0.0,10263.098064359012,0.8649563996812314,idle
2023-08-08 06:15:00,9948.076083409458,0.0,9948.076083409458,0.8649563996812314,idle
2023-08-08 06:30:00,9997.40164141775,0.0,9997.40164141775,0.8649563996812314,idle
2023-08-08 06:45:00,9775.940444398744,0.0,9775.940444398744,0.8649563996812314,idle
2023-08-08 07:00:00,10503.057329746798,0.0,10503.057329746798,0.8649563996812314,idle
2023-08-08 07:15:00,10177.767999423222,0.0,10177.767999423222,0.8649563996812314,idle
2023-08-08 07:30:00,9910.552911188764,0.0,9910.552911188764,0.8649563996812314,idle
2023-08-08 07:45:00,9376.469680196844,0.0,9376.469680196844,0.8649563996812314,idle
2023-08-08 08:00:00,12380.26869560299,750.0,11630.26869560299,0.7367091056705871,discharge
2023-08-08 08:15:00,9757.176848389336,0.0,9757.176848389336,0.7367091056705871,idle
2023-08-08 08:30:00,10242.1996393222,0.0,10242.1996393222,0.7367091056705871,idle
2023-08-08 08:45:00,9399.928382038008,0.0,9399.928382038008,0.7367091056705871,idle
2023-08-08 09:00:00,10265.303350526816,0.0,10265.303350526816,0.7367091056705871,idle
2023-08-08 09:15:00,10444.479894761233,0.0,10444.479894761233,0.7367091056705871,idle
2023-08-08 09:30:00,10166.088300661007,0.0,10166.088300661007,0.7367091056705871,idle
2023-08-08 09:45:00,8799.201989811841,0.0,8799.201989811841,0.7367091056705871,idle
2023-08-08 10:00:00,10574.161908806953,0.0,10574.161908806953,0.7367091056705871,idle
2023-08-08 10:15:00,10325.084576573196,0.0,10325.084576573196,0.7367091056705871,idle
2023-08-08 10:30:00,9478.776774070462,0.0,9478.776774070462,0.7367091056705871,idle
2023-08-08 10:45:00,9291.861084202048,0.0,9291.861084202048,0.7367091056705871,idle
2023-08-08 11:00:00,10942.22277550237,223.1694807776803,10719.05329472469,0.6985479296499231,discharge
2023-08-08 11:15:00,10847.59051053615,128.53721581146056,10719.05329472469,0.6765685295066137,discharge
2023-08-08 11:30:00,7914.771759977373,-450.0,8364.771759977373,0.749669487092681,charge
2023-08-08 11:45:00,9414.515641821816,0.0,9414.515641821816,0.749669487092681,idle
2023-08-08 12:00:00,11226.528333698328,507.4750389736382,10719.05329472469,0.6628930863909273,discharge
2023-08-08 12:15:00,9858.637125104226,0.0,9858.637125104226,0.6628930863909273,idle
2023-08-08 12:30:00,10451.974975116427,0.0,10451.974975116427,0.6628930863909273,idle
2023-08-08 12:45:00,8786.1930293314,0.0,8786.1930293314,0.6628930863909273,idle
2023-08-08 13:00:00,10066.962579161773,0.0,10066.962579161773,0.6628930863909273,idle
2023-08-08 13:15:00,10189.102472935336,0.0,10189.102472935336,0.6628930863909273,idle
