timestamp,load_kw,action_mode,action_power_kw,reason,battery_soc,threshold_kw
2023-01-01 00:00:00,5063.474395109229,charge,450.0,Low load charging (load 5063 < 8039),0.5731009575860673,10719.05329472469
2023-01-01 00:15:00,4350.42509092585,charge,450.0,Low load charging (load 4350 < 8039),0.6462019151721345,10719.05329472469
2023-01-01 00:30:00,4804.976757788121,charge,450.0,Low load charging (load 4805 < 8039),0.7193028727582018,10719.05329472469
2023-01-01 00:45:00,4372.178617460533,charge,450.0,Low load charging (load 4372 < 8039),0.7924038303442691,10719.05329472469
2023-01-01 01:00:00,4877.237663659816,charge,450.0,Low load charging (load 4877 < 8039),0.8655047879303364,10719.05329472469
2023-01-01 01:15:00,4708.916017520043,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 01:30:00,4668.652567147638,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 01:45:00,4440.175189022812,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 02:00:00,4508.033148448052,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 02:15:00,4909.137204408139,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 02:30:00,4774.051771868768,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 02:45:00,4814.917072010249,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 03:00:00,4629.902551201903,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 03:15:00,4399.548555333007,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 03:30:00,4811.767970798534,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 03:45:00,4771.400144932225,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 04:00:00,4895.059737657598,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 04:15:00,4388.424472487567,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 04:30:00,4947.223480290281,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 04:45:00,4329.553574025683,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 05:00:00,4708.893882291768,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 05:15:00,4575.066720888856,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 05:30:00,4748.031801643933,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 05:45:00,4551.453848577363,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
2023-01-01 06:00:00,4744.820161437542,idle,0.0,"SOC high, no peak",0.8655047879303364,10719.05329472469
